contestID,choiceID,precID,precname,splitID,splitname,count,cont_ch
351,500,34,AU0007,35,8 REP,0,351_500
3006,1,34,AU0007,35,8 REP,0,3006_1
3006,2,34,AU0007,35,8 REP,0,3006_2
3031,1,34,AU0007,35,8 REP,0,3031_1
3031,2,34,AU0007,35,8 REP,0,3031_2
3036,1,34,AU0007,35,8 REP,0,3036_1
7369,1,34,AU0007,35,8 REP,0,7369_1
4021,3760,34,AU0007,35,8 REP,0,4021_3760
4021,3765,34,AU0007,35,8 REP,0,4021_3765
4021,3770,34,AU0007,35,8 REP,0,4021_3770
8006,1,34,AU0007,35,8 REP,0,8006_1
8006,2,34,AU0007,35,8 REP,0,8006_2
8014,1,34,AU0007,35,8 REP,0,8014_1
8014,2,34,AU0007,35,8 REP,0,8014_2
8006,1,34,AU0007,36,8 NP,0,8006_1
8006,2,34,AU0007,36,8 NP,0,8006_2
8014,1,34,AU0007,36,8 NP,0,8014_1
8014,2,34,AU0007,36,8 NP,0,8014_2
352,505,34,AU0007,37,FED11 DEM,0,352_505
351,495,34,AU0007,38,FED11 REP,0,351_495
351,500,34,AU0007,38,FED11 REP,0,351_500
182,110,39,AU0008,39,9 DEM,0,182_110
182,115,39,AU0008,39,9 DEM,0,182_115
182,120,39,AU0008,39,9 DEM,0,182_120
182,130,39,AU0008,39,9 DEM,0,182_130
182,135,39,AU0008,39,9 DEM,0,182_135
182,140,39,AU0008,39,9 DEM,0,182_140
192,155,39,AU0008,39,9 DEM,0,192_155
192,160,39,AU0008,39,9 DEM,0,192_160
192,165,39,AU0008,39,9 DEM,0,192_165
192,170,39,AU0008,39,9 DEM,0,192_170
192,175,39,AU0008,39,9 DEM,0,192_175
192,180,39,AU0008,39,9 DEM,0,192_180
192,185,39,AU0008,39,9 DEM,0,192_185
192,190,39,AU0008,39,9 DEM,0,192_190
202,200,39,AU0008,39,9 DEM,0,202_200
212,215,39,AU0008,39,9 DEM,0,212_215
222,225,39,AU0008,39,9 DEM,0,222_225
352,505,39,AU0008,39,9 DEM,0,352_505
670,870,39,AU0008,39,9 DEM,0,670_870
670,875,39,AU0008,39,9 DEM,0,670_875
671,880,39,AU0008,39,9 DEM,0,671_880
